fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
24,US,MD,,state,,iso1:us#iso2:us-md,,6045680,0.098,other,11.0,,0.96,0.1,,,,,,0.74,2,1,2,4,1,,1,1352432,16384,2184202,22493767,1400,10151,8529,754,,1211,897,54,,748,21731990,5542993,4817012,2023-02-11,https://covidactnow.org/us/maryland-md,0.917,0.797,10,14575753,2,2730656,0.452,77.1,,,,,,,,,0.074,,477,,7.9,,0,1382811,0.229
23,US,ME,,state,,iso1:us#iso2:us-me,,1344212,0.095,other,13.2,,1.04,0.12,,,,,,0.73,2,1,2,4,1,,1,313456,2894,270927,4195771,86,2856,2252,162,,332,243,26,,267,4820560,1309620,1119665,2023-02-11,https://covidactnow.org/us/maine-me,0.95,0.833,6,3499243,2,681614,0.507,92.2,,,,,,,,,0.057,,86,,6.4,,0,390606,0.291
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.099,other,8.3,,1.01,0.1,,,,,,0.77,1,1,1,4,1,,1,3027032,41755,3120743,24977152,1000,21141,17109,717,,2301,1782,70,,5788,28769660,6931503,6221496,2023-02-11,https://covidactnow.org/us/michigan-mi,0.694,0.623,0,18548036,2,3648841,0.365,58.0,,,,,,,,,0.034,,638,,6.4,,0,1685016,0.169
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.137,other,11.4,,1.15,0.1,,,,,,0.78,2,2,2,4,2,,1,1761893,14682,2156973,22040185,1028,9464,8111,452,,852,665,33,,4494,17900210,4441877,4066026,2023-02-11,https://covidactnow.org/us/minnesota-mn,0.788,0.721,80,12676404,3,2569262,0.456,79.7,,,,,,,,,0.048,,390,,6.9,,0,1413612,0.251
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.26,other,9.0,,1.02,0.1,,,,,,0.82,3,3,1,4,1,,2,1772170,23664,1856350,11614607,94,14635,12261,714,,1758,1437,78,,168,15295475,4253370,3622257,2023-02-11,https://covidactnow.org/us/missouri-mo,0.693,0.59,1,10426460,3,1718659,0.28,62.9,,,,,,,,,0.049,,500,,8.1,,0,854153,0.139
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,0.0,,1.0,1.17,,,,,,,0,4,0,4,1,,4,13395,41,1161,57944,10,,,,,,,,,0,147730,46654,43914,2023-02-11,https://covidactnow.org/us/northern_mariana_islands-mp,0.87,0.819,0,117154,0,23584,0.44,0.0,,,,,,,,,,,,,,,,3780,0.071
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.162,other,15.5,,0.89,0.1,,,,,,0.86,2,2,2,4,0,,3,981020,13257,581611,2709654,200,7721,5309,226,,705,603,24,,3230,7090765,1833885,1596905,2023-02-11,https://covidactnow.org/us/mississippi-ms,0.616,0.537,0,4280054,3,657026,0.221,108.5,,,,,,,,,0.029,,213,,7.2,,0,181858,0.061
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.105,other,8.4,,0.89,0.19,,,,,,0.62,2,2,1,4,0,,0,326632,3659,283421,1952139,200,2595,1664,46,,212,131,2,,0,2657575,729304,632026,2023-02-11,https://covidactnow.org/us/montana-mt,0.682,0.591,0,1855806,3,332029,0.311,59.0,,,,,,,,,0.018,,82,,7.7,,0,160697,0.15
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.127,other,17.0,,1.05,0.1,,,,,,0.82,2,2,2,4,1,,2,3433715,29279,3027469,23017374,1215,20637,16794,1847,,2203,1811,117,,12470,,7076816,6646863,2023-02-11,https://covidactnow.org/us/north_carolina-nc,0.675,0.634,0,,3,3944307,0.376,118.9,,,,,,,,,0.089,,773,,7.4,,0,,
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.167,other,15.7,,0.91,0.17,,,,,,0.54,2,2,2,4,1,,0,283780,2505,189182,2283056,500,1907,1405,51,,210,113,7,,0,1857430,528288,446845,2023-02-11,https://covidactnow.org/us/north_dakota-nd,0.693,0.586,9,1302076,3,217214,0.285,110.2,,,,,,,,,0.027,,66,,8.7,,0,112563,0.148
